,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample_freq,state,params_n_estimators
386,386,0.18645039277116537,2023-06-29 13:30:35.298400,2023-06-29 13:30:36.493241,0 days 00:00:01.194841,goss,0.4967498952222267,0.08591305486910665,47,6,8,48,0.00014133627330601984,9.664818681149897e-05,2,COMPLETE,109
788,788,0.18645282758800777,2023-06-29 14:01:15.714271,2023-06-29 14:01:17.667695,0 days 00:00:01.953424,goss,0.4713303791859484,0.04904454938899147,54,5,9,66,0.0004406677391115986,1.0284156802257368e-07,2,COMPLETE,251
362,362,0.18648755099977748,2023-06-29 13:29:51.175234,2023-06-29 13:29:53.752718,0 days 00:00:02.577484,goss,0.5635122067058893,0.03242008796250712,51,9,8,40,7.735260020045616e-05,1.9688579864793252e-07,3,COMPLETE,304
534,534,0.18649320387361634,2023-06-29 13:39:32.580240,2023-06-29 13:39:34.283131,0 days 00:00:01.702891,goss,0.51090966428469,0.06978277222668737,38,5,7,42,2.7616282454810125e-05,5.756573526884397e-05,4,COMPLETE,194
509,509,0.18650954174650114,2023-06-29 13:38:02.436509,2023-06-29 13:38:08.135797,0 days 00:00:05.699288,goss,0.6038292045596388,0.012319009145627832,32,5,5,21,7.048797353942658e-07,4.328632287800626e-08,3,COMPLETE,794
448,448,0.1865582947166359,2023-06-29 13:32:37.853476,2023-06-29 13:32:39.974940,0 days 00:00:02.121464,goss,0.531445021767667,0.026914966097530732,49,5,10,21,0.0029234733989190716,3.270803042878615e-08,3,COMPLETE,535
898,898,0.18656353210122603,2023-06-29 14:10:01.178295,2023-06-29 14:10:02.925702,0 days 00:00:01.747407,goss,0.3730630134115479,0.06336346899659344,50,9,12,55,3.506617551358137e-05,1.364536664911207e-08,4,COMPLETE,139
442,442,0.18661359021061294,2023-06-29 13:32:27.008914,2023-06-29 13:32:28.801673,0 days 00:00:01.792759,goss,0.5618458865622449,0.03752155694027015,40,6,8,30,3.755911603750494e-05,0.0009952342009807201,3,COMPLETE,320
879,879,0.18661390402228809,2023-06-29 14:08:26.888648,2023-06-29 14:08:28.642627,0 days 00:00:01.753979,goss,0.4955925417812609,0.05138964450033888,61,5,13,56,2.936026414327117e-06,1.1442259615717696e-07,4,COMPLETE,223
968,968,0.18668314653731577,2023-06-29 14:16:03.125017,2023-06-29 14:16:05.380302,0 days 00:00:02.255285,goss,0.32310156406418133,0.059342641763691355,36,5,13,50,0.06538209303584067,1.1736164168787365e-07,5,COMPLETE,220
94,94,0.18669415558390728,2023-06-29 13:18:20.115238,2023-06-29 13:18:22.147081,0 days 00:00:02.031843,goss,0.49570793850946054,0.06258710977040564,42,6,11,64,7.606727539776082e-05,1.0718473707773698e-07,6,COMPLETE,204
360,360,0.18674032798570595,2023-06-29 13:29:42.117119,2023-06-29 13:29:49.315372,0 days 00:00:07.198253,goss,0.5429690989549741,0.006726591782797981,41,7,12,57,0.00035519625073055037,1.1900495118008942e-07,3,COMPLETE,1362
770,770,0.18675677720289696,2023-06-29 13:59:30.784011,2023-06-29 13:59:33.955114,0 days 00:00:03.171103,goss,0.4661776434191882,0.027774066889658278,46,5,9,54,2.0076753826313263e-05,2.4522766970115446e-08,4,COMPLETE,426
280,280,0.18685109283845436,2023-06-29 13:25:37.436558,2023-06-29 13:25:40.364290,0 days 00:00:02.927732,goss,0.4794555788502767,0.0313147530270009,51,5,9,40,0.001768231374774559,4.650114836911364e-08,3,COMPLETE,325
573,573,0.18686572634141116,2023-06-29 13:41:48.058708,2023-06-29 13:41:52.282355,0 days 00:00:04.223647,goss,0.4804377865271403,0.018768612100050618,82,5,12,69,4.132222836240552e-06,1.077490504014836e-06,4,COMPLETE,571
780,780,0.1868832669020667,2023-06-29 14:00:26.164675,2023-06-29 14:00:31.484612,0 days 00:00:05.319937,goss,0.4469967403052222,0.021847346416583636,57,6,8,70,0.001172542500298614,6.007394464361945e-06,5,COMPLETE,571
297,297,0.18689103082341013,2023-06-29 13:26:42.738172,2023-06-29 13:26:45.410027,0 days 00:00:02.671855,goss,0.5070861297328155,0.031351151228216405,52,5,10,51,0.009304923344840696,2.6804288011965997e-08,4,COMPLETE,468
276,276,0.18694050982899085,2023-06-29 13:25:26.902132,2023-06-29 13:25:29.851019,0 days 00:00:02.948887,goss,0.4719250106698455,0.035296687380304614,75,5,8,63,0.0010654809395574012,7.6067762525780115e-06,3,COMPLETE,396
648,648,0.1869820002717153,2023-06-29 13:47:46.976989,2023-06-29 13:47:51.640557,0 days 00:00:04.663568,goss,0.6032809990292992,0.013386586057647342,50,5,14,36,2.3290892870665964e-07,0.00034880015952229763,3,COMPLETE,849
588,588,0.18702963208960646,2023-06-29 13:43:08.797469,2023-06-29 13:43:11.050103,0 days 00:00:02.252634,goss,0.48223129088848854,0.04821552797655481,44,5,13,53,6.247151073329106e-05,6.551616253846434e-08,1,COMPLETE,227
628,628,0.18704540158007565,2023-06-29 13:45:35.292570,2023-06-29 13:45:38.702261,0 days 00:00:03.409691,goss,0.6297081361012754,0.050325413114632477,224,5,9,59,0.008913874375974394,0.0005414497018150132,3,COMPLETE,231
937,937,0.18705770775988098,2023-06-29 14:12:26.494481,2023-06-29 14:12:28.453456,0 days 00:00:01.958975,goss,0.4190177047476705,0.046626700073541555,41,5,16,52,0.007170962973200231,8.396422370336506e-06,4,COMPLETE,271
