,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_subsample,state,params_n_estimators
555,555,0.2321548646094838,2023-07-12 23:21:45.824465,2023-07-12 23:22:13.228721,0 days 00:00:27.404256,,,MVS,0.39254798801671914,8,Depthwise,21.00145871530042,0.005994537909357648,,25,64.72662350304716,0.32080772993523676,COMPLETE,2144
134,134,0.23217867353750699,2023-07-12 21:24:37.451740,2023-07-12 21:24:43.871986,0 days 00:00:06.420246,,,MVS,0.3275241411549938,9,Depthwise,22.276124477045656,0.028944284365005266,,31,44.53041596464218,0.34911837580905364,COMPLETE,1283
923,923,0.23225884180360687,2023-07-13 03:00:51.657304,2023-07-13 03:01:06.731585,0 days 00:00:15.074281,,,MVS,0.6621679972286347,10,Depthwise,16.0207916594301,0.012801412477004339,,37,88.21972962730835,0.4438995702230214,COMPLETE,825
412,412,0.23227345247295503,2023-07-12 22:46:38.519202,2023-07-12 22:46:44.869414,0 days 00:00:06.350212,,,MVS,0.7410227221495181,10,Depthwise,19.399387587752795,0.052165543877450454,,30,66.56433034320122,0.38817858688358997,COMPLETE,2800
381,381,0.23228398542796577,2023-07-12 22:35:56.170028,2023-07-12 22:36:12.894370,0 days 00:00:16.724342,,,MVS,0.6259883917048784,8,Depthwise,14.191843659928116,0.012274911815213254,,24,78.53572783075286,0.3230953780625944,COMPLETE,2038
968,968,0.23230520165574908,2023-07-13 03:17:10.108070,2023-07-13 03:17:17.703830,0 days 00:00:07.595760,,,MVS,0.578021082545888,10,Depthwise,60.82578982405263,0.04993330723179182,,34,85.4430119700352,0.5166402468069018,COMPLETE,863
211,211,0.2323307336446048,2023-07-12 21:53:05.150668,2023-07-12 21:53:16.127912,0 days 00:00:10.977244,,,MVS,0.3927432491197862,9,Depthwise,51.673175037738204,0.02087350242129367,,34,46.13517054278826,0.35457306081652923,COMPLETE,1995
828,828,0.23236210271476115,2023-07-13 02:22:15.388702,2023-07-13 02:22:22.862961,0 days 00:00:07.474259,,,MVS,0.7941028163356989,10,Depthwise,26.90829675603745,0.04033857615521564,,31,57.448389604495375,0.3633293799949612,COMPLETE,1497
221,221,0.23237406806845384,2023-07-12 21:54:48.582067,2023-07-12 21:54:58.174614,0 days 00:00:09.592547,,,MVS,0.40471726157444415,9,Depthwise,45.60071893065932,0.023037863265862338,,33,48.417774905425254,0.3005710617559934,COMPLETE,1663
983,983,0.23238857719242637,2023-07-13 03:18:53.905384,2023-07-13 03:19:09.239346,0 days 00:00:15.333962,,,MVS,0.4312290541713577,10,Depthwise,24.48311310456886,0.016646816388441985,,29,67.12912829847708,0.5580384654783654,COMPLETE,1406
419,419,0.23242906936116794,2023-07-12 22:48:13.507915,2023-07-12 22:48:45.013433,0 days 00:00:31.505518,,,MVS,0.5313759166938956,10,Depthwise,11.301378274677864,0.007579786229952395,,25,67.41762920270226,0.5078963957252667,COMPLETE,1778
405,405,0.23250680660495301,2023-07-12 22:39:24.957169,2023-07-12 22:39:31.791199,0 days 00:00:06.834030,,,MVS,0.6968187279533051,10,Depthwise,8.75231947386797,0.033699815642351534,,33,65.95465978658996,0.3790179373102318,COMPLETE,771
284,284,0.2325279897645937,2023-07-12 22:07:51.897690,2023-07-12 22:07:59.962850,0 days 00:00:08.065160,,,MVS,0.47803240689341414,7,Depthwise,7.280255849940873,0.019306484654579188,,29,37.57861039525574,0.3236209245169058,COMPLETE,1729
867,867,0.2325507192640124,2023-07-13 02:36:05.407226,2023-07-13 02:36:55.222404,0 days 00:00:49.815178,,,MVS,0.3437413442883207,10,Depthwise,15.799497362661636,0.00566892196538649,,31,93.23179982162425,0.9184216489382491,COMPLETE,1605
101,101,0.23256771222144085,2023-07-12 21:17:41.039677,2023-07-12 21:17:52.282718,0 days 00:00:11.243041,,,MVS,0.4160286619735695,9,Depthwise,57.632312124332984,0.019527666675561946,,39,32.81893066016862,0.38226573554120474,COMPLETE,1776
95,95,0.23257015236364026,2023-07-12 21:16:11.627927,2023-07-12 21:16:26.015105,0 days 00:00:14.387178,,,MVS,0.4669433973646576,9,Depthwise,23.989783964130453,0.017073201220443996,,25,29.14405434094664,0.4375327248317426,COMPLETE,2146
735,735,0.23261001707228118,2023-07-13 00:40:17.249993,2023-07-13 00:40:26.772975,0 days 00:00:09.522982,,,MVS,0.8584686902058789,8,Depthwise,11.53559643452386,0.0352288638936791,,31,46.739064227073996,0.7098137137329663,COMPLETE,3000
633,633,0.2326141605457348,2023-07-12 23:55:31.935703,2023-07-12 23:55:41.901990,0 days 00:00:09.966287,,,MVS,0.40600066685422875,10,Depthwise,21.361210300492267,0.02482526924035836,,20,94.16791070171624,0.3113383480199325,COMPLETE,1681
