,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state
179,179,0.1939286035287795,2023-06-22 19:47:52.184297,2023-06-22 19:47:54.129634,0 days 00:00:01.945337,goss,0.5070888381689403,0.08291384555413159,41,4,13,54,1.1974828701657303e-06,3.1053689063184e-08,,2,COMPLETE
379,379,0.19395527274523855,2023-06-22 20:00:11.042569,2023-06-22 20:00:14.413585,0 days 00:00:03.371016,goss,0.47376226163463375,0.055462581491585276,69,9,17,72,8.60322780094448e-05,4.412773081478291e-08,,2,COMPLETE
325,325,0.19396556997530845,2023-06-22 19:55:15.503689,2023-06-22 19:55:18.394666,0 days 00:00:02.890977,goss,0.5190999142990881,0.05374063561772687,239,9,16,71,1.167089409754652e-06,3.176860040685158e-08,,2,COMPLETE
85,85,0.19397054195151958,2023-06-22 19:43:02.660868,2023-06-22 19:43:05.789938,0 days 00:00:03.129070,goss,0.5895521705184956,0.054374542888440555,52,7,12,118,0.00042224418657736576,1.408939985613169e-07,,2,COMPLETE
747,747,0.19405317607429431,2023-06-22 20:33:39.681165,2023-06-22 20:33:41.580656,0 days 00:00:01.899491,goss,0.5512185249587952,0.08499462079691412,50,4,8,100,9.508632267967971e-08,3.403154618484652e-07,,1,COMPLETE
380,380,0.1941092184749016,2023-06-22 20:00:14.414439,2023-06-22 20:00:20.098048,0 days 00:00:05.683609,goss,0.5715401739411624,0.026824229952603303,53,6,13,67,6.24468374866547e-07,9.927372099617427e-08,,2,COMPLETE
232,232,0.19414158878863516,2023-06-22 19:50:31.660226,2023-06-22 19:50:35.386486,0 days 00:00:03.726260,goss,0.5046541048070893,0.03933570358777013,72,9,15,69,8.335401636273133e-07,2.9029567749997726e-08,,2,COMPLETE
560,560,0.19441434714605793,2023-06-22 20:13:29.486512,2023-06-22 20:13:32.789322,0 days 00:00:03.302810,goss,0.45327237296890943,0.03878375563756223,32,4,14,83,3.394176923118092e-06,0.00012800882888038082,,1,COMPLETE
413,413,0.19441629344929778,2023-06-22 20:03:05.612615,2023-06-22 20:03:12.137373,0 days 00:00:06.524758,goss,0.6212151275182509,0.020961958684758045,32,4,9,70,9.890138468919041e-07,1.4120972059280963e-08,,1,COMPLETE
522,522,0.1944213290359631,2023-06-22 20:09:54.159060,2023-06-22 20:09:55.606041,0 days 00:00:01.446981,goss,0.6383536657885147,0.17168874331349293,55,4,14,70,0.00019777289416053734,1.0774627397993656e-08,,6,COMPLETE
931,931,0.19444849295671565,2023-06-22 20:57:45.869681,2023-06-22 20:57:48.202908,0 days 00:00:02.333227,goss,0.6401540637966805,0.07181036091525257,32,4,18,104,9.336407020934944e-07,1.3059123958752235e-08,,2,COMPLETE
151,151,0.1944643000149895,2023-06-22 19:46:07.719469,2023-06-22 19:46:11.139906,0 days 00:00:03.420437,goss,0.5321506780025641,0.04471630339764299,71,9,17,79,1.0053665089782119e-06,5.985552708044878e-08,,2,COMPLETE
535,535,0.19447440158146628,2023-06-22 20:10:33.802561,2023-06-22 20:10:38.357952,0 days 00:00:04.555391,goss,0.48206312875123003,0.023684963851907045,44,4,14,75,0.03576169052802153,0.0018102589268561332,,1,COMPLETE
146,146,0.19451985888626747,2023-06-22 19:45:45.715077,2023-06-22 19:45:50.454995,0 days 00:00:04.739918,goss,0.5230077967680627,0.027826113328011357,74,9,14,77,6.548011757760453e-07,3.175955800854037e-08,,2,COMPLETE
221,221,0.19452711213863602,2023-06-22 19:49:58.521439,2023-06-22 19:50:01.400203,0 days 00:00:02.878764,goss,0.5151099015125173,0.04992542327140667,79,9,14,72,1.0385921606298019e-06,3.582696882721994e-08,,2,COMPLETE
411,411,0.19456742543197925,2023-06-22 20:02:58.035064,2023-06-22 20:03:01.196599,0 days 00:00:03.161535,goss,0.6297444222798267,0.05767433675174739,36,4,12,67,1.5831033342997923e-05,3.054334672482998e-08,,1,COMPLETE
765,765,0.19460390899269694,2023-06-22 20:35:12.644424,2023-06-22 20:35:14.923475,0 days 00:00:02.279051,goss,0.56984541192056,0.07142224714414526,53,4,7,91,1.1183600606294795e-07,9.145348086026792e-08,,1,COMPLETE
